                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.59724,                0.37223,                 1.0516,                0.68064,                0.35944,                 1.0809,                0.96692,                0.93542,                0.98669,                0.86183,                0.51009,                0.31134,                 1.0304,                 0.5432,                0.26186,                 1.0602,              0.0075745,              0.0075745,              0.0075745
                     52,                0.57837,                0.36143,                 1.0372,                0.65184,                0.34497,                 1.0657,                0.97186,                0.92893,                 0.9855,                0.86145,                0.51016,                 0.3044,                 1.0233,                0.53861,                 0.2622,                 1.0444,               0.007525,               0.007525,               0.007525
                     53,                0.58826,                0.36801,                 1.0397,                0.66175,                0.34822,                 1.0693,                 0.9428,                0.95694,                0.98468,                0.85651,                0.51093,                0.31109,                 1.0281,                0.54673,                0.27634,                 1.0566,              0.0074755,              0.0074755,              0.0074755
                     54,                 0.5815,                0.36519,                 1.0421,                0.65615,                0.34334,                 1.0718,                0.95553,                0.94358,                0.98759,                0.85609,                0.51393,                0.29988,                 1.0302,                0.54371,                0.25252,                 1.0567,               0.007426,               0.007426,               0.007426
                     55,                0.57418,                0.35801,                  1.041,                0.64929,                0.33118,                 1.0712,                0.95112,                0.93741,                0.98767,                0.86699,                0.49297,                0.29568,                 1.0112,                0.52061,                0.25134,                 1.0316,              0.0073765,              0.0073765,              0.0073765
                     56,                0.58547,                 0.3617,                 1.0382,                0.65957,                0.33931,                 1.0645,                0.94144,                0.94824,                0.98589,                0.87151,                0.49283,                0.29658,                 1.0172,                0.51755,                0.25065,                 1.0338,               0.007327,               0.007327,               0.007327
                     57,                0.57656,                 0.3621,                 1.0455,                0.64972,                0.33323,                  1.073,                0.94791,                0.95819,                 0.9864,                 0.8656,                0.49634,                0.29333,                 1.0206,                0.53226,                0.25048,                 1.0438,              0.0072775,              0.0072775,              0.0072775
                     58,                0.57425,                0.35525,                 1.0393,                0.64679,                0.32588,                 1.0659,                0.95961,                0.92257,                0.98555,                 0.8686,                0.48435,                0.28964,                 1.0103,                0.51031,                0.25856,                 1.0279,               0.007228,               0.007228,               0.007228
                     59,                0.57279,                0.35311,                 1.0446,                0.64299,                0.32617,                 1.0717,                0.94541,                0.95045,                0.98471,                0.87249,                0.48053,                0.28677,                 1.0036,                 0.5117,                0.26295,                 1.0274,              0.0071785,              0.0071785,              0.0071785
                     60,                0.56867,                0.35538,                 1.0294,                0.64113,                 0.3236,                 1.0586,                0.96092,                0.95836,                0.98925,                0.86902,                0.49576,                0.28743,                 1.0145,                0.53112,                0.22409,                 1.0439,               0.007129,               0.007129,               0.007129
                     61,                0.58341,                 0.3587,                 1.0478,                0.65691,                0.32327,                 1.0756,                0.95473,                0.96096,                0.98882,                0.86699,                0.50296,                0.29557,                 1.0211,                0.53239,                 0.2476,                 1.0424,              0.0070795,              0.0070795,              0.0070795
                     62,                0.57382,                0.34693,                 1.0375,                0.64691,                0.31262,                 1.0645,                0.93689,                0.96011,                0.98724,                0.86442,                0.49232,                0.27818,                 1.0173,                0.52794,                0.25874,                  1.045,                0.00703,                0.00703,                0.00703
                     63,                0.56617,                0.34857,                  1.031,                0.63485,                 0.3229,                 1.0566,                0.95496,                0.93543,                0.98559,                0.86755,                0.49281,                0.28237,                 1.0117,                0.51258,                0.26149,                 1.0202,              0.0069805,              0.0069805,              0.0069805
                     64,                0.57303,                 0.3531,                 1.0324,                0.65231,                0.32208,                  1.057,                0.97865,                0.95846,                0.99026,                0.87688,                0.48191,                0.28358,                  1.009,                0.51306,                0.23076,                 1.0241,               0.006931,               0.006931,               0.006931
                     65,                0.55472,                0.34338,                 1.0234,                0.62455,                0.31964,                 1.0485,                0.94681,                0.94999,                0.98496,                0.86352,                0.49255,                0.28234,                 1.0126,                0.53056,                 0.2592,                 1.0347,              0.0068815,              0.0068815,              0.0068815
                     66,                0.56259,                0.34474,                 1.0314,                0.63496,                0.32752,                  1.058,                0.94646,                 0.9445,                0.98582,                0.87009,                0.48173,                0.27834,                 1.0069,                0.51163,                0.25456,                 1.0237,               0.006832,               0.006832,               0.006832
                     67,                0.56478,                0.34827,                 1.0276,                0.64221,                0.32865,                 1.0538,                0.95942,                0.94169,                0.98563,                0.87668,                 0.4776,                0.27504,                 1.0037,                0.49283,                0.25365,                 1.0131,              0.0067825,              0.0067825,              0.0067825
                     68,                0.56039,                0.33686,                 1.0277,                0.63845,                0.31693,                 1.0525,                0.96126,                 0.9445,                0.98737,                0.87476,                 0.4803,                0.27337,                 1.0039,                0.50629,                0.24387,                  1.018,               0.006733,               0.006733,               0.006733
